"","brewery_name","brewery_id","beers","beers_id","n_beers","mean_overall","mean_aroma","mean_appearance","mean_palate","mean_taste","n_reviews"
"27","Abbaye de Leffe S.A.",470,"[""Leffe Brune / Brown"",""Leffe Tripel"",""Leffe 9"",""Leffe Ruby"",""Leffe Blonde"",""Leffe Radieuse"",""Leffe Vieille Cuvée"",""Leffe Rossa"",""Leffe De Noël"",""Leffe Bière De Printemps (Springbeer)""]","[""1862"",""1358"",""28802"",""41964"",""2137"",""2138"",""5545"",""41961"",""39973"",""67593""]",10,3.68587975730833,3.62906784335356,3.83618312189741,3.63899613899614,3.65581908439051,1813
"28","Abbey Brewing Co.",1765,"[""Abbey Maibock"",""Brother Aaron's Quadrupel"",""Abbey Russian Imperial Stout"",""Abbey Brown"",""Abbey India Pale Ale"",""Abbey Dubbel"",""Abbey Oatmeal Stout"",""Father Franks Bock""]","[""4954"",""20772"",""4953"",""4950"",""4951"",""44676"",""4952"",""56427""]",8,4,3.78378378378378,3.94594594594595,4.01351351351351,4.04054054054054,37
"29","Abbey Wright Brewing Co.",14440,"[""Frosty Pumpkin Ale"",""Hefe"",""Vanilla Cream Stout"",""Highlander Scottish Ale"",""Blueberry Wheat"",""Hippee IPA"",""Irish Red Ale"",""Mosquito Wheat"",""Smokey Oak Scottish Ale"",""Bittersweet Porter"",""Alpha Deuce IPA"",""XPA (Extra Pale Ale)"",""Patty & Aaron's"",""Vanilla Latte Stout"",""Firestorm Saison""]","[""36709"",""36708"",""36713"",""32813"",""32776"",""32321"",""32359"",""32357"",""43332"",""32322"",""36710"",""41774"",""63315"",""47256"",""44848""]",15,3.58333333333333,3.79166666666667,3.52083333333333,3.54166666666667,3.625,24
"30","Abbeydale Brewery",6393,"[""Matins"",""White Lady"",""Absolution"",""Last Rites"",""Moonshine""]","[""14117"",""38313"",""14121"",""14123"",""14120""]",5,4.1,4.05,3.95,3.95,4.05,10
"31","Abita Brewing Co.",3,"[""Strawberry Harvest Lager"",""Abita Select Amber Ale"",""Restoration Pale Ale"",""Abita Select India Pale Ale"",""Abbey Ale"",""Jockamo IPA"",""Christmas Ale 2009"",""Abita Select Weizenbock"",""Abita Select Pale Ale"",""Abita Select Pilsner"",""Dunkelweizen"",""Turbodog"",""Light"",""Christmas Ale 2005"",""Abita Select Double IPA"",""Christmas Ale 2006"",""Abita Select Belgian Saison"",""Abita Select Rum Barrel Aged Honey Rye"",""Corky's Memphis Brew"",""Abita Select Vanilla Porter"",""Golden"",""Purple Haze"",""Christmas Ale 2007"",""Abita Select Doppelbock"",""Abita Select Honey Rye Ale"",""Abita Select Barleywine (DUPLICATE)"",""Abita Select Alt"",""Abita Select Nut Brown Ale"",""Mardi Gras Bock"",""Vanilla Turbodog"",""Fall Fest"",""Amber"",""Pecan Harvest Ale"",""Wheat"",""Abita Select Rye"",""Christmas Ale 2003"",""Fleur-de-lis Restoration Ale"",""Andygator"",""Abita Select Triple Haze"",""Abita Select Cream Ale"",""Satsuma Harvest Wit"",""Abita Select Imperial Stout"",""20th Anniversary Pilsner"",""Christmas Ale 2004"",""Christmas Ale 2008"",""Abita Select Imperial Pilsner"",""Christmas Ale 2011"",""Christmas Ale 2001"",""Abita Select Double Rye Pale Ale"",""Red Ale"",""Abita Select Kolsch"",""Abita Select Barleywine"",""Abita Select Citra Hopped Satsuma Wit"",""Abita Select Four Grain"",""Christmas Ale 2002"",""Abita Select Belgian White"",""Abita Select Black IPA"",""Abita Select Double Kolsch"",""Abita Select Oatmeal Stout (DUPLICATE)"",""Abita Select Belgian Golden Ale"",""Christmas Ale 2010"",""Abita Select Imperial Louisiana Oyster Stout"",""Abita Select Oatmeal Stout"",""Abita Select Amarillo Hopped Restoration Pale Ale"",""Abita Select Extra Extra Strong Bitter (ESB2)"",""25th Anniversary Vanilla Doubledog"",""SOS (Save Our Shore)""]","[""23505"",""53285"",""41195"",""27044"",""45583"",""39390"",""54015"",""57930"",""37808"",""50704"",""41744"",""6"",""13769"",""26939"",""56509"",""33993"",""17913"",""74069"",""18571"",""64549"",""9"",""7"",""39391"",""25255"",""71783"",""76011"",""25254"",""22218"",""3001"",""62448"",""3000"",""5"",""35134"",""8"",""33282"",""14648"",""26497"",""1565"",""67385"",""31067"",""46955"",""55299"",""31120"",""20742"",""45866"",""24753"",""74967"",""2357"",""63275"",""2999"",""20240"",""76455"",""71784"",""42682"",""7297"",""23504"",""66121"",""60276"",""69150"",""32045"",""63201"",""74070"",""46291"",""75533"",""62295"",""73139"",""60284""]",67,3.55880156804181,3.38398357289528,3.59221579242113,3.39845062535001,3.42094455852156,5357
"32","Åbro Bryggeri",3825,"[""Åbro Femkommatvåan"",""Åbro Original 3,5%"",""Åbro Färsköl"",""Åbro Småland 3,5%"",""Åbro Original Lättöl"",""Sommaröl (2009)"",""Åbro Sigill Julöl"",""Åbro Småland 5,2%"",""Åbro Sjukommatvåan"",""Åbro Bryggmästarens Bästa Pilsner 5,0%"",""Åbro Tvåkommaåttan"",""Åbro Arton56 Amber"",""Åbro Arton56 5,2%"",""Åbro Bryggmästarens Mixed Ale 5,0%"",""Åbro Bryggmästarens Mörka Lager"",""Åbro Svensk Starköl"",""Åbro Julbock"",""Anderssons Extra 7,2%"",""Åbro Småland Mellanöl 4,5%"",""Åbro Original Starköl 5,2%"",""Åbro Bryggmästarens Premium Guld"",""Sommaröl (2006)"",""Åbro Arton56 3,5%"",""Åbro Julöl"",""Åbro Export"",""Åbro Lejon"",""Åbro Sigill"",""Åbro Bryggmästarens Veteöl 3,5%"",""Åbro Bryggmästarens Oktoberfestöl"",""Åbro Original Mellanöl 4,3%"",""Abro Original Premium Lagerol"",""Åbro Bryggmästarens Påsköl"",""Åbro Bryggmästarens Mixed Ale 3,5%"",""Åbro Vimmerby Pilsner"",""Anderssons 3,5%"",""Åbro Kung 5,2%"",""Åbro Original Extra Stark 7.3%"",""Åbro Småland Extra 7,2%"",""Anderssons 5,2%""]","[""21942"",""22618"",""70844"",""26006"",""56634"",""50654"",""46190"",""21944"",""21943"",""9148"",""25268"",""32882"",""28986"",""23684"",""18775"",""21946"",""21220"",""21936"",""42837"",""9149"",""40940"",""23664"",""28734"",""21187"",""61892"",""45661"",""32883"",""19735"",""20019"",""24730"",""73912"",""22296"",""23685"",""32884"",""21937"",""21939"",""8345"",""21945"",""21935""]",39,2.77380952380952,2.58333333333333,3.20833333333333,2.91071428571429,2.6547619047619,84
"33","AC Golden Brewing Company",17948,"[""Colorado Native Lager"",""Herman Joseph's Private Reserve"",""AC Golden Baltic Porter"",""AC Golden Wild Ale"",""AC Golden Saison"",""AC Golden German Pilsener"",""Munich Dunkel"",""Winterfest"",""AC Golden Barrel Aged Belgian Sour"",""AC Golden Kriek""]","[""57348"",""43807"",""50753"",""72681"",""72752"",""50774"",""54309"",""54093"",""69476"",""75489""]",10,3.83108108108108,3.45945945945946,3.72972972972973,3.60135135135135,3.63513513513514,74
"34","Acorn Brewery Of Barnsley",10155,"[""Acorn Barnsley Bitter"",""Acorn First Gold IPA"",""Acorn Old Moor Porter"",""Acorn Warrior IPA"",""Gorlovka"",""Acorn Galena IPA"",""Acorn Barnsley Gold"",""Acorn Northdown Blonde"",""Acorn Simcoe IPA"",""Acorn Premium"",""Acorn Quantum"",""Acorn Fifth Noël"",""Acorn Sovereign""]","[""23897"",""48787"",""24181"",""74859"",""54823"",""67757"",""34899"",""35037"",""70210"",""48217"",""74607"",""57967"",""38879""]",13,4,3.63636363636364,4,3.81818181818182,3.86363636363636,22
"35","Adirondack Pub & Brewery",7216,"[""Inman Pond Blonde"",""Bear Naked Ale"",""California Steam"",""Belgian Style Amber Ale"",""Café Vero Stout"",""Iroquois Pale Ale"",""Dirty Blonde"",""Hopen-Weisse"",""Bobcat Blonde"",""Belgian Saison"",""British Red"",""Fat Scotsman"",""Headwater Hefe"",""Adirondack Beaver Tail Brown Ale"",""Czech Pilsner"",""Belgium White Peach"",""Maple Porter"",""Black IPA"",""Oktoberfest"",""Snow Trout Stout"",""Belgian Pale Ale"",""Double IPA"",""Indian Pale Ale""]","[""43201"",""37158"",""37020"",""70456"",""63762"",""76363"",""63763"",""63761"",""63758"",""52358"",""43199"",""24839"",""63760"",""68231"",""63759"",""72179"",""72152"",""64288"",""73740"",""37021"",""52357"",""67945"",""52473""]",23,3.77631578947368,3.72368421052632,3.75,3.69078947368421,3.80921052631579,76
"36","Adnams plc, Sole Bay Brewery",779,"[""Adnams SSB (Suffolk Special Bitter)"",""Adnams Broadside"",""Adnams Broadside Strong Original"",""Adnams Explorer"",""Adnams East Green Carbon Neutral"",""Adnams Gunhill"",""Adnams Bitter"",""Adnams 93 Celebration Ale"",""Adnams Spiced Winter Beer"",""Adnams Southwold Bitter"",""Adnams Regatta"",""Adnams Innovation"",""Adnams American Style IPA"",""Marks & Spencer Southwold Dark Ale"",""Marks & Spencer Southwold Winter IPA"",""Adnams Spindrift"",""Adnams Victory Celebration Ale"",""Adnams Fisherman"",""Adnams Oyster Stout"",""Solebay Celebratory Beer"",""Marks & Spencer Southwold IPA"",""Adnams Ghost Ship"",""Adnams Old Ale"",""Adnams Belgian Abbey Ale"",""Adnams Tally-Ho"",""Adnams May Day"",""Adnams Southwold Winter Beer"",""Adnams Southwold Mild"",""Southwold German Style Wheat Beer"",""Adnams Yuletide"",""Adnams Lighthouse"",""Marks & Spencer Southwold Summer Beer"",""Jolly""]","[""7615"",""4687"",""12305"",""20121"",""42754"",""49413"",""23975"",""66541"",""63812"",""5413"",""14125"",""45876"",""63936"",""70582"",""75265"",""59594"",""48409"",""14124"",""14127"",""61615"",""71020"",""63536"",""18588"",""54500"",""14126"",""49680"",""54253"",""69254"",""55883"",""75629"",""48925"",""71059"",""76687""]",33,3.88428324697755,3.69689119170984,3.90328151986183,3.79620034542314,3.8713298791019,579
